ID,601919.symbol,601919.name,601919.date,601919.open,601919.high,601919.low,601919.close,601919.close_prev,601919.change_pct,601919.volume,601919.amount,601919.turnover,601919.cap_market,601919.cap_total,601919.close_adj,601919.unit,600519.symbol,600519.name,600519.date,600519.open,600519.high,600519.low,600519.close,600519.close_prev,600519.change_pct,600519.volume,600519.amount,600519.turnover,600519.cap_market,600519.cap_total,600519.close_adj,600519.unit,601857.symbol,601857.name,601857.date,601857.open,601857.high,601857.low,601857.close,601857.close_prev,601857.change_pct,601857.volume,601857.amount,601857.turnover,601857.cap_market,601857.cap_total,601857.close_adj,601857.unit
235,601919.SS,中远海控,2020/6/18,3.45,3.59,3.44,3.52,3.42,2.924,44537170,157036232,0.5144,30473702308,43153542879,2.550128,CNY,600519.SS,贵州茅台,2020/6/18,1404.9,1413.2,1400.1,1413,1405,0.5694,2101041,2956800081,0.1673,1.78E+12,1.78E+12,1368.8917,CNY,601857.SS,中国石油,2020/6/18,4.24,4.32,4.23,4.29,4.25,0.9412,79832736,341813040,0.0493,6.95E+11,7.85E+11,3.897955,CNY
236,601919.SS,中远海控,2020/6/19,3.66,3.73,3.54,3.57,3.52,1.4205,52394580,189048124,0.6052,30906567397,43766519340,2.586352,CNY,600519.SS,贵州茅台,2020/6/19,1420,1445.2,1415.1,1439.84,1413,1.8995,3895833,5603232657,0.3101,1.81E+12,1.81E+12,1394.8938,CNY,601857.SS,中国石油,2020/6/19,4.27,4.31,4.25,4.3,4.29,0.2331,79035747,338442686,0.0488,6.96E+11,7.87E+11,3.907041,CNY
237,601919.SS,中远海控,2020/6/22,3.54,3.55,3.47,3.47,3.57,-2.8011,34202245,119796432,0.3951,30040837218,42540566418,2.513905,CNY,600519.SS,贵州茅台,2020/6/22,1435.1,1443.89,1433.2,1439,1439.84,-0.0583,2324700,3343536637,0.1851,1.81E+12,1.81E+12,1394.08,CNY,601857.SS,中国石油,2020/6/22,4.3,4.31,4.27,4.27,4.3,-0.6977,60774765,260633820,0.0375,6.91E+11,7.81E+11,3.879782,CNY
238,601919.SS,中远海控,2020/6/23,3.46,3.48,3.42,3.42,3.47,-1.4409,19105929,65692878,0.2207,29607972129,41927589956,2.477682,CNY,600519.SS,贵州茅台,2020/6/23,1435,1482,1433.52,1474.5,1439,2.467,3393426,4963194685,0.2701,1.85E+12,1.85E+12,1428.4719,CNY,601857.SS,中国石油,2020/6/23,4.28,4.28,4.25,4.26,4.27,-0.2342,53115905,226543582,0.0328,6.90E+11,7.80E+11,3.870696,CNY
239,601919.SS,中远海控,2020/6/24,3.47,3.5,3.44,3.44,3.42,0.5848,15874974,55029753,0.1834,29781118165,42172780541,2.492171,CNY,600519.SS,XD贵州茅,2020/6/24,1463.6,1465.71,1445,1460.01,1457.48,0.1736,2513899,3663537115,0.2001,1.83E+12,1.83E+12,1430.9515,CNY,601857.SS,中国石油,2020/6/24,4.26,4.27,4.25,4.26,4.26,0,52723594,224645378,0.0326,6.90E+11,7.80E+11,3.870696,CNY
240,601919.SS,中远海控,2020/6/29,3.43,3.47,3.38,3.41,3.44,-0.8721,17042064,58231153,0.1969,29521399111,41804994664,2.470437,CNY,600519.SS,贵州茅台,2020/6/29,1448,1466,1437.01,1463.17,1460.01,0.2164,2808061,4064048236,0.2235,1.84E+12,1.84E+12,1434.0486,CNY,601857.SS,中国石油,2020/6/29,4.26,4.27,4.23,4.24,4.26,-0.4695,54861604,232907011,0.0339,6.87E+11,7.76E+11,3.852524,CNY
241,601919.SS,中远海控,2020/6/30,3.42,3.47,3.42,3.47,3.41,1.7595,15570894,53717002,0.1799,30040837218,42540566418,2.513905,CNY,600519.SS,贵州茅台,2020/6/30,1463.12,1468.98,1455.12,1462.88,1463.17,-0.0198,2244614,3281641199,0.1787,1.84E+12,1.84E+12,1433.7644,CNY,601857.SS,XD中国石,2020/6/30,4.2,4.2,4.18,4.19,4.17,0.4796,47947188,200938795,0.0296,6.78E+11,7.67E+11,3.871001,CNY
242,601919.SS,中远海控,2020/7/1,3.47,3.52,3.44,3.51,3.47,1.1527,21116144,73382821,0.2439,30387129290,43030947587,2.542884,CNY,600519.SS,贵州茅台,2020/7/1,1468,1506.1,1464.02,1494.27,1462.88,2.1458,3868249,5759640251,0.3079,1.88E+12,1.88E+12,1464.5296,CNY,601857.SS,中国石油,2020/7/1,4.19,4.26,4.18,4.25,4.19,1.432,86165989,363009046,0.0532,6.88E+11,7.78E+11,3.926433,CNY
243,601919.SS,中远海控,2020/7/2,3.5,3.67,3.48,3.65,3.51,3.9886,55866074,201500437,0.6453,31599151541,44747281679,2.644309,CNY,600519.SS,贵州茅台,2020/7/2,1499,1550.9,1495,1544,1494.27,3.328,4588372,7014289615,0.3653,1.94E+12,1.94E+12,1513.2699,CNY,601857.SS,中国石油,2020/7/2,4.24,4.33,4.23,4.32,4.25,1.6471,153857647,659477227,0.095,7.00E+11,7.91E+11,3.991104,CNY
244,601919.SS,中远海控,2020/7/3,3.69,4.02,3.68,4.01,3.65,9.863,129152432,502687171,1.4918,34715780186,49160712200,2.905118,CNY,600519.SS,贵州茅台,2020/7/3,1550,1552.5,1516.88,1541.79,1544,-0.1431,3512581,5395637032,0.2796,1.94E+12,1.94E+12,1511.1039,CNY,601857.SS,中国石油,2020/7/3,4.33,4.45,4.32,4.42,4.32,2.3148,222616461,977995754,0.1375,7.16E+11,8.09E+11,4.083491,CNY
245,601919.SS,中远海控,2020/7/6,4.1,4.38,4.1,4.37,4.01,8.9776,130877861,558918722,1.5118,37832408831,53574142722,3.165926,CNY,600519.SS,贵州茅台,2020/7/6,1538,1616,1531.81,1600,1541.79,3.7755,5182196,8228068998,0.4125,2.01E+12,2.01E+12,1568.1553,CNY,601857.SS,中国石油,2020/7/6,4.44,4.74,4.44,4.72,4.42,6.7873,443275190,2033077360,0.2738,7.64E+11,8.64E+11,4.360651,CNY
246,601919.SS,中远海控,2020/7/7,4.4,4.57,4.17,4.17,4.37,-4.5767,147376508,636021101,1.7023,36100948473,51122236877,3.021033,CNY,600519.SS,贵州茅台,2020/7/7,1603.09,1744.82,1601,1688,1600,5.5,6666393,11219852098,0.5307,2.12E+12,2.12E+12,1654.4038,CNY,601857.SS,中国石油,2020/7/7,4.77,4.88,4.66,4.7,4.72,-0.4237,397893345,1886736423,0.2457,7.61E+11,8.60E+11,4.342173,CNY
247,601919.SS,中远海控,2020/7/8,4.17,4.29,4.11,4.28,4.17,2.6379,89317224,376213000,1.0317,37053251670,52470785092,3.100724,CNY,600519.SS,贵州茅台,2020/7/8,1680,1719,1660,1681.34,1688,-0.3945,5316998,8963189092,0.4233,2.11E+12,2.11E+12,1647.8764,CNY,601857.SS,中国石油,2020/7/8,4.67,4.69,4.58,4.67,4.7,-0.6383,270532624,1255098821,0.1671,7.56E+11,8.55E+11,4.314457,CNY
248,601919.SS,中远海控,2020/7/9,4.26,4.4,4.24,4.33,4.28,1.1682,92536145,399121167,1.0689,37486116759,53083761553,3.136948,CNY,600519.SS,贵州茅台,2020/7/9,1691,1712,1682,1706,1681.34,1.4667,3503324,5951732803,0.2789,2.14E+12,2.14E+12,1672.0456,CNY,601857.SS,中国石油,2020/7/9,4.68,4.77,4.63,4.74,4.67,1.4989,261168874,1224970983,0.1613,7.68E+11,8.68E+11,4.379128,CNY
